37	13	U	-3.403139979362691E7	200
transitionprobs	20	25	0.0
transitionprobs	20	26	0.0
transitionprobs	20	27	0.0
transitionprobs	20	28	0.0
transitionprobs	20	29	0.0
transitionprobs	20	30	0.0
transitionprobs	20	31	0.0
transitionprobs	20	32	0.0
transitionprobs	20	33	0.0
transitionprobs	20	34	0.0
transitionprobs	20	35	0.0
transitionprobs	20	36	0.0
transitionprobs	20	37	0.002443949337940558
transitionprobs	21	1	0.0
transitionprobs	21	2	0.0
transitionprobs	21	3	0.0
transitionprobs	21	4	0.0
transitionprobs	21	5	0.0
transitionprobs	21	6	0.0
transitionprobs	21	7	0.0
transitionprobs	21	8	0.0
transitionprobs	21	9	0.0
transitionprobs	21	10	0.0
transitionprobs	21	11	0.0
transitionprobs	21	12	0.0
transitionprobs	21	13	0.0
transitionprobs	21	14	0.0
transitionprobs	21	15	0.0
transitionprobs	21	16	0.0
transitionprobs	21	17	0.0
transitionprobs	21	18	0.0
transitionprobs	21	19	6.293402481581102E-4
transitionprobs	21	20	0.025905544267923936
transitionprobs	21	21	0.9712928535375508
transitionprobs	21	22	0.0
transitionprobs	21	23	0.0
transitionprobs	21	24	0.0
transitionprobs	21	25	0.0
transitionprobs	21	26	0.0
transitionprobs	21	27	0.0
transitionprobs	21	28	0.0
transitionprobs	21	29	0.0
transitionprobs	21	30	0.0
transitionprobs	21	31	0.0
transitionprobs	21	32	0.0
transitionprobs	21	33	0.0
transitionprobs	21	34	0.0
transitionprobs	21	35	0.0
transitionprobs	21	36	0.0
transitionprobs	21	37	0.0021722619463672285
transitionprobs	22	1	0.0
transitionprobs	22	2	0.0
transitionprobs	22	3	0.0
transitionprobs	22	4	0.0
transitionprobs	22	5	0.0
transitionprobs	22	6	0.0
transitionprobs	22	7	0.0
transitionprobs	22	8	0.0
transitionprobs	22	9	0.0
transitionprobs	22	10	0.0
transitionprobs	22	11	0.0
transitionprobs	22	12	0.0
transitionprobs	22	13	0.0
transitionprobs	22	14	0.0
transitionprobs	22	15	0.0
transitionprobs	22	16	0.0
transitionprobs	22	17	0.0
transitionprobs	22	18	0.0
transitionprobs	22	19	0.0
transitionprobs	22	20	0.0
transitionprobs	22	21	0.0
transitionprobs	22	22	0.8804622011132394
transitionprobs	22	23	0.06250544427501804
transitionprobs	22	24	0.054005902456099895
transitionprobs	22	25	0.0
transitionprobs	22	26	0.0
transitionprobs	22	27	0.0
transitionprobs	22	28	0.0
transitionprobs	22	29	0.0
transitionprobs	22	30	0.0
transitionprobs	22	31	0.0
transitionprobs	22	32	0.0
transitionprobs	22	33	0.0
transitionprobs	22	34	0.0
transitionprobs	22	35	0.0
transitionprobs	22	36	0.0
transitionprobs	22	37	0.0030264521556427402
transitionprobs	23	1	0.0
transitionprobs	23	2	0.0
transitionprobs	23	3	0.0
transitionprobs	23	4	0.0
transitionprobs	23	5	0.0
transitionprobs	23	6	0.0
transitionprobs	23	7	0.0
transitionprobs	23	8	0.0
transitionprobs	23	9	0.0
transitionprobs	23	10	0.0
transitionprobs	23	11	0.0
transitionprobs	23	12	0.0
transitionprobs	23	13	0.0
transitionprobs	23	14	0.0
transitionprobs	23	15	0.0
transitionprobs	23	16	0.0
transitionprobs	23	17	0.0
transitionprobs	23	18	0.0
transitionprobs	23	19	0.0
transitionprobs	23	20	0.0
transitionprobs	23	21	0.0
transitionprobs	23	22	0.008701523329068307
transitionprobs	23	23	0.9258352168423355
transitionprobs	23	24	0.059822498052019286
transitionprobs	23	25	0.0
transitionprobs	23	26	0.0
transitionprobs	23	27	0.0
transitionprobs	23	28	0.0
transitionprobs	23	29	0.0
transitionprobs	23	30	0.0
transitionprobs	23	31	0.0
transitionprobs	23	32	0.0
transitionprobs	23	33	0.0
transitionprobs	23	34	0.0
transitionprobs	23	35	0.0
transitionprobs	23	36	0.0
transitionprobs	23	37	0.005640761776576866
transitionprobs	24	1	0.0
transitionprobs	24	2	0.0
transitionprobs	24	3	0.0
transitionprobs	24	4	0.0
transitionprobs	24	5	0.0
transitionprobs	24	6	0.0
transitionprobs	24	7	0.0
transitionprobs	24	8	0.0
transitionprobs	24	9	0.0
transitionprobs	24	10	0.0
transitionprobs	24	11	0.0
transitionprobs	24	12	0.0
transitionprobs	24	13	0.0
transitionprobs	24	14	0.0
transitionprobs	24	15	0.0
transitionprobs	24	16	0.0
transitionprobs	24	17	0.0
